;Unnamed: 0;id;smiles;compound_class;compound_subclass;name;molecular_weight;formula;cas_number;created_at;updated_at;SMILES_check;Std_SMILES;Parent_SMILES
10;10;15;COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Peonidin 3-O-glucoside;463.411;C22H23O11;6906-39-4;2004-11-19 00:00:00 UTC;2015-05-10 23:28:36 UTC;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O;COc1c(O)ccc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1;COc1c(O)ccc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1
11;11;16;[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O;Flavonoids;Anthocyanins;Peonidin 3-O-rutinoside;609.553;C28H33O15;;2004-11-19 00:00:00 UTC;2015-05-10 23:28:36 UTC;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(OC)c2)O[C@]1([H])CO[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(OC)c(O)cc2)O[C@]1([H])CO[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(OC)c(O)cc2)O[C@]1([H])CO[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
12;12;17;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Pelargonidin 3-O-rutinoside;579.527;C27H31O14;;2004-11-19 00:00:00 UTC;2015-05-10 23:28:36 UTC;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
13;13;18;OC1=CC=C(C=C1)C1=[O+]C2=C(C=C1O)C(O)=CC(O)=C2;Flavonoids;Anthocyanins;Pelargonidin;271.245;C15H11O5;7690-51-9;2004-11-19 00:00:00 UTC;2015-05-10 23:28:36 UTC;Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1;Oc1ccc(-c2[o+]c3c(cc2O)c(O)cc(O)c3)cc1;Oc1ccc(-c2[o+]c3c(cc2O)c(O)cc(O)c3)cc1
14;14;19;OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1;Flavonoids;Anthocyanins;Cyanidin;287.244;C15H11O6;13306-05-3;2004-11-22 00:00:00 UTC;2015-05-10 23:28:37 UTC;Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1;Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)cc3)[o+]c2c1;Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)cc3)[o+]c2c1
15;15;20;COC1=CC(=CC(OC)=C1O)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC(O)=CC2=[O+]1;Flavonoids;Anthocyanins;Malvidin 3,5-O-diglucoside;655.578;C29H35O17;;2004-11-22 00:00:00 UTC;2015-05-10 23:28:37 UTC;COc1cc(-c2[o+]c3cc(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O;COc1cc(-c2[o+]c3cc(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O;COc1cc(-c2[o+]c3cc(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O
16;16;21;CC1OC(OCC2OC(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O;Flavonoids;Anthocyanins;Cyanidin 3-O-glucosyl-rutinoside;757.667;C33H41O20;;2004-12-08 00:00:00 UTC;2015-05-10 23:28:37 UTC;CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O;CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O;CC1OC(OCC2OC(Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
17;17;22;OC[C@H]1O[C@@H](O[C@H]2[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;Flavonoids;Anthocyanins;Pelargonidin 3-O-sophoroside;595.526;C27H31O15;;2005-01-24 00:00:00 UTC;2015-05-10 23:28:37 UTC;OC[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](O[C@H]2[C@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
18;18;23;[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC=C(O)C=C3)[C@]([H])(O[C@]3([H])OC(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O;Flavonoids;Anthocyanins;Pelargonidin 3-O-glucosyl-rutinoside;741.667;C33H41O19;;2005-01-24 00:00:00 UTC;2015-05-10 23:28:37 UTC;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O[C@]2([H])OC(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)O[C@]1([H])CO[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O[C@]2([H])OC(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(Oc2cc3c(cc(O)cc3O)[o+]c2-c2ccc(O)cc2)O[C@]1([H])CO[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O[C@]2([H])OC(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(Oc2cc3c(cc(O)cc3O)[o+]c2-c2ccc(O)cc2)O[C@]1([H])CO[C@]1([H])O[C@@]([H])(C)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
19;19;24;[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O;Flavonoids;Anthocyanins;Cyanidin 3-O-(6''-succinyl-glucoside);549.458;C25H25O14;;2005-01-25 00:00:00 UTC;2015-05-10 23:28:37 UTC;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)O[C@]1([H])COC(=O)CCC(=O)O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)O[C@]1([H])COC(=O)CCC(=O)O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)O[C@]1([H])COC(=O)CCC(=O)O
20;20;25;[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O;Flavonoids;Anthocyanins;Pelargonidin 3-O-(6''-succinyl-glucoside);533.458;C25H25O13;;2005-01-25 00:00:00 UTC;2015-05-10 23:28:37 UTC;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)O[C@]1([H])COC(=O)CCC(=O)O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)O[C@]1([H])COC(=O)CCC(=O)O;[H][C@]1(O)[C@]([H])(O)[C@@]([H])(O)[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)O[C@]1([H])COC(=O)CCC(=O)O
21;21;27;OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O;Flavonoids;Anthocyanins;Delphinidin 3-O-galactoside;465.384;C21H21O12;;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O;OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O;OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
22;22;28;OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O;Flavonoids;Anthocyanins;Delphinidin 3-O-glucoside;465.384;C21H21O12;;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O;OC[C@H]1O[C@@H](Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
23;23;29;O[C@H]1CO[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Delphinidin 3-O-arabinoside;435.358;C20H19O11;;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;Oc1cc(O)c2cc(O[C@H]3OC[C@H](O)[C@H](O)[C@H]3O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1;Oc1cc(O)c2cc(O[C@H]3OC[C@H](O)[C@H](O)[C@H]3O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1;Oc1cc(O)c2cc(O[C@H]3OC[C@H](O)[C@H](O)[C@H]3O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1
24;24;31;COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1OC1OC(CO)C(O)C(O)C1O)C(O)=CC(O)=C2;Flavonoids;Anthocyanins;Petunidin 3-O-galactoside;479.411;C22H23O12;;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(O)c1O;COc1c(O)c(O)cc(-c2[o+]c3c(cc2OC2OC(CO)C(O)C(O)C2O)c(O)cc(O)c3)c1;COc1c(O)c(O)cc(-c2[o+]c3c(cc2OC2OC(CO)C(O)C(O)C2O)c(O)cc(O)c3)c1
25;25;32;[H][C@@]1(CO)O[C@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]1([H])O;Flavonoids;Anthocyanins;Cyanidin 3-O-arabinoside;419.359;C20H19O10;;2002-08-22 11:51:47 UTC;2015-05-10 23:28:37 UTC;[H][C@@]1(CO)O[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@]([H])(O)[C@@]1([H])O;[H][C@@]1(CO)O[C@]([H])(Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(O)c(O)cc2)[C@]([H])(O)[C@@]1([H])O;[H][C@@]1(CO)O[C@]([H])(Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(O)c(O)cc2)[C@]([H])(O)[C@@]1([H])O
26;26;33;COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2;Flavonoids;Anthocyanins;Petunidin 3-O-glucoside;479.411;C22H23O12;6988-81-4;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1O;COc1c(O)c(O)cc(-c2[o+]c3c(cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)cc(O)c3)c1;COc1c(O)c(O)cc(-c2[o+]c3c(cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)cc(O)c3)c1
27;27;34;[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O;Flavonoids;Anthocyanins;Peonidin 3-O-galactoside;463.411;C22H23O11;;2004-11-19 00:00:00 UTC;2015-05-10 23:28:37 UTC;[H][C@@]1(Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(OC)c2)O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O;[H][C@@]1(Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(OC)c(O)cc2)O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O;[H][C@@]1(Oc2cc3c(cc(O)cc3O)[o+]c2-c2cc(OC)c(O)cc2)O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O
28;28;35;[H][C@@]1(O)CO[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@]1([H])O;Flavonoids;Anthocyanins;Petunidin 3-O-arabinoside;449.385;C21H21O11;;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;[H][C@@]1(O)CO[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(OC)c2)[C@]([H])(O)[C@]1([H])O;[H][C@@]1(O)CO[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(OC)c2)[C@]([H])(O)[C@]1([H])O;[H][C@@]1(O)CO[C@]([H])(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(OC)c2)[C@]([H])(O)[C@]1([H])O
29;29;36;COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;Flavonoids;Anthocyanins;Malvidin 3-O-glucoside;493.437;C23H25O12;7228-78-6;2005-01-27 00:00:00 UTC;2015-05-10 23:28:37 UTC;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O
